EOG Left,EEG C3-A1,EEG O1-A1,EEG C4-A1,EEG O2-A1
0.09765625,9.9609375,-23.2421875,-14.74609375,-12.59765625
-36.42578125,-17.96875,-9.86328125,-8.10546875,-6.0546875
-11.9140625,-7.71484375,18.84765625,-0.09765625,12.20703125
40.52734375,6.54296875,10.64453125,-2.24609375,-13.671875
-12.3046875,-0.9765625,13.28125,7.32421875,16.89453125
196.09375,47.0703125,48.4375,77.1484375,45.3125
10.83984375,9.47265625,11.9140625,-4.8828125,-9.765625
17.48046875,5.2734375,-3.7109375,3.22265625,-2.5390625
-12.01171875,-6.0546875,12.98828125,-8.69140625,5.46875
-28.02734375,2.24609375,5.95703125,-3.125,4.6875
13.8671875,8.69140625,4.4921875,7.32421875,-6.640625
62.109375,14.16015625,-25.09765625,17.28515625,-6.15234375
-17.3828125,-5.37109375,27.734375,-13.671875,13.0859375
0.1953125,-11.03515625,1.171875,-5.46875,-6.34765625
-16.30859375,-6.0546875,-1.953125,-7.2265625,-6.0546875
67.08984375,3.90625,-1.7578125,-5.859375,0.87890625
0.09765625,-11.71875,5.37109375,-8.203125,2.83203125
19.921875,0.390625,4.00390625,-9.765625,7.32421875
12.3046875,-1.5625,-7.71484375,-13.8671875,2.05078125
-60.546875,-6.4453125,8.10546875,-4.4921875,7.12890625
7.8125,23.2421875,9.5703125,20.3125,8.984375
5.17578125,3.7109375,32.8125,8.203125,28.61328125
57.03125,-21.58203125,-8.984375,-21.77734375,-15.91796875
-42.578125,-11.1328125,-0.87890625,-9.08203125,-27.734375
-19.140625,-30.2734375,0.5859375,-24.51171875,-25.0
-22.0703125,18.65234375,-14.453125,12.01171875,23.828125
39.94140625,-2.24609375,1.5625,-1.07421875,6.8359375
1.26953125,2.63671875,3.90625,2.63671875,4.00390625
3.3203125,-8.203125,1.171875,-9.765625,1.953125
4.00390625,10.25390625,20.3125,5.859375,13.8671875
-34.08203125,4.58984375,11.23046875,32.51953125,-4.296875
37.20703125,7.8125,-1.07421875,7.421875,2.34375
9.08203125,8.984375,-2.1484375,13.57421875,3.41796875
-14.453125,-4.39453125,1.7578125,-7.32421875,-9.375
21.875,13.4765625,-22.36328125,4.8828125,1.953125
-35.3515625,-6.640625,19.04296875,-6.25,0.9765625
-40.91796875,5.078125,7.51953125,-2.9296875,9.66796875
20.01953125,-8.88671875,-9.86328125,-7.32421875,-3.7109375
-50.48828125,-9.27734375,4.98046875,-14.35546875,4.78515625
-18.75,3.61328125,0.68359375,3.41796875,-0.9765625
11.62109375,-4.00390625,-12.01171875,-1.171875,-7.51953125
13.0859375,-1.85546875,3.22265625,3.125,10.7421875
-2.63671875,-18.45703125,-2.734375,-21.77734375,-10.546875
8.88671875,1.66015625,0.1953125,-5.17578125,-1.46484375
-4.39453125,28.90625,10.7421875,39.0625,20.3125
-3.41796875,-18.75,-2.34375,-12.01171875,-6.4453125
10.15625,-3.41796875,15.13671875,8.49609375,-0.87890625
21.875,1.46484375,-15.0390625,5.859375,-19.53125
15.4296875,5.078125,0.390625,-4.39453125,10.3515625
39.74609375,-16.796875,6.54296875,-10.15625,-5.37109375
-0.5859375,8.30078125,5.37109375,10.7421875,3.80859375
23.92578125,9.27734375,4.00390625,10.44921875,15.234375
18.359375,31.54296875,-12.109375,31.0546875,3.90625
10.15625,2.1484375,-3.22265625,-0.09765625,-18.65234375
4.1015625,21.38671875,-12.5,16.69921875,14.2578125
27.83203125,5.6640625,5.76171875,-1.26953125,0.68359375
57.2265625,5.46875,4.00390625,-0.48828125,1.953125
21.484375,18.9453125,-8.59375,9.86328125,-10.546875
44.04296875,-0.1953125,-13.4765625,-6.25,-13.28125
13.0859375,20.21484375,8.59375,6.640625,17.1875
7.6171875,9.47265625,14.0625,10.83984375,4.78515625
0.87890625,11.81640625,6.8359375,11.23046875,2.05078125
43.5546875,16.69921875,-9.27734375,16.40625,19.23828125
8.7890625,-22.265625,3.02734375,-20.8984375,6.34765625
-21.2890625,-6.8359375,6.640625,-2.83203125,-5.56640625
0.9765625,-33.88671875,-13.28125,-32.8125,-19.23828125
-25.5859375,10.44921875,-4.58984375,8.30078125,2.734375
7.03125,4.00390625,2.734375,10.7421875,-0.09765625
2.05078125,7.03125,6.25,-0.87890625,5.17578125
-21.58203125,-8.49609375,5.37109375,-8.984375,6.4453125
-2.9296875,7.91015625,-13.671875,-2.83203125,-9.47265625
-2.734375,3.515625,-4.39453125,-4.1015625,-1.3671875
10.83984375,-14.0625,-19.53125,-16.69921875,-32.51953125
36.9140625,23.2421875,-0.87890625,21.97265625,-0.09765625
15.234375,19.3359375,2.44140625,-2.34375,11.9140625
13.0859375,-8.49609375,-9.08203125,-0.48828125,-4.6875
-31.54296875,11.328125,-8.984375,18.26171875,2.24609375
23.14453125,5.6640625,18.45703125,3.61328125,18.75
10.05859375,-12.59765625,13.96484375,-18.5546875,4.19921875
-1.171875,-19.53125,-1.07421875,-19.23828125,5.56640625
3.61328125,-4.296875,9.5703125,2.63671875,5.078125
13.8671875,-12.59765625,5.2734375,-17.3828125,8.88671875
8.0078125,-3.61328125,5.76171875,-2.34375,-7.91015625
2.34375,-1.26953125,2.5390625,0.29296875,1.07421875
6.0546875,31.4453125,17.28515625,33.203125,16.796875
2.83203125,-4.00390625,5.95703125,5.95703125,3.7109375
3.80859375,17.96875,12.98828125,10.546875,5.17578125
-0.87890625,17.48046875,-11.5234375,3.02734375,11.03515625
41.796875,-7.03125,2.1484375,-13.8671875,4.98046875
2.24609375,-2.9296875,18.06640625,-2.1484375,0.48828125
-15.91796875,9.9609375,24.4140625,6.73828125,8.10546875
-26.46484375,-9.86328125,17.48046875,-2.734375,15.0390625
8.10546875,12.01171875,3.61328125,-1.07421875,2.5390625
-19.140625,-13.671875,-7.6171875,-6.8359375,1.46484375
-8.984375,2.83203125,22.16796875,6.93359375,12.01171875
-41.9921875,-14.2578125,7.6171875,-9.1796875,0.9765625
16.11328125,12.59765625,8.3984375,19.23828125,-0.09765625
8.88671875,-3.61328125,0.29296875,-2.24609375,0.87890625
-31.25,-3.80859375,12.109375,-6.8359375,6.34765625
78.515625,7.51953125,-10.05859375,19.140625,-18.26171875
-34.27734375,8.69140625,6.34765625,7.421875,10.3515625
11.1328125,-0.87890625,8.203125,-1.85546875,4.00390625
-33.3984375,2.05078125,14.2578125,0.9765625,22.55859375
-48.2421875,-36.03515625,5.46875,-28.61328125,-17.1875
11.23046875,6.54296875,-3.41796875,6.73828125,-0.390625
17.3828125,19.140625,5.17578125,4.8828125,24.90234375
55.37109375,25.390625,-0.78125,23.53515625,8.30078125
-9.86328125,-9.27734375,4.19921875,-20.5078125,-7.32421875
17.578125,-0.390625,14.16015625,2.5390625,14.74609375
11.9140625,15.91796875,-24.12109375,17.87109375,-30.859375
12.79296875,9.47265625,5.37109375,28.90625,-1.46484375
15.91796875,3.41796875,-2.24609375,-1.85546875,-10.7421875
20.41015625,19.921875,-6.93359375,19.140625,-5.37109375
6.54296875,-3.90625,13.37890625,1.7578125,12.79296875
6.25,17.08984375,3.22265625,10.3515625,4.6875
1.46484375,5.859375,-9.765625,5.95703125,-20.60546875
8.88671875,-12.59765625,0.1953125,-12.20703125,1.5625
0.78125,-15.52734375,-4.6875,-8.49609375,-15.0390625
15.33203125,36.1328125,-9.765625,40.4296875,-12.01171875
5.95703125,-21.58203125,-8.30078125,-12.6953125,-7.8125
-11.328125,-9.86328125,1.7578125,-11.5234375,-9.27734375
3.3203125,-1.67e-14,3.41796875,4.39453125,6.25
-9.765625,-6.93359375,9.27734375,-2.734375,10.546875
2.83203125,-11.03515625,5.2734375,-20.99609375,-2.05078125
-17.28515625,-10.15625,6.640625,-6.8359375,5.6640625
-18.9453125,10.15625,5.6640625,8.984375,9.5703125
-1.171875,13.18359375,5.859375,19.82421875,7.71484375
-15.52734375,-15.91796875,-2.1484375,-7.71484375,-17.96875
-12.109375,-17.3828125,-0.87890625,-11.328125,-7.6171875
4.296875,-10.3515625,22.36328125,-13.96484375,16.015625
