EOG Left,EEG C3-A1,EEG O1-A1,EEG C4-A1,EEG O2-A1
13.18359375,-2.63671875,-7.8125,-4.00390625,-2.24609375
-55.76171875,-16.69921875,33.984375,-25.1953125,24.21875
-2.5390625,-6.15234375,-2.5390625,-1.07421875,16.69921875
-25.9765625,1.171875,-7.2265625,0.48828125,-1.85546875
127.9296875,3.41796875,-5.6640625,7.51953125,7.51953125
-9.47265625,-18.84765625,13.0859375,-33.59375,3.515625
5.56640625,-7.03125,-10.64453125,-11.42578125,-3.125
-11.5234375,-10.7421875,0.5859375,-7.8125,3.7109375
17.08984375,19.140625,13.671875,15.52734375,14.84375
5.2734375,-5.37109375,15.13671875,-16.6015625,-12.890625
-18.06640625,3.515625,-15.91796875,3.3203125,-4.8828125
23.92578125,25.5859375,-5.6640625,9.375,-3.80859375
-10.3515625,-26.7578125,-9.86328125,-23.33984375,-22.75390625
3.41796875,21.97265625,-10.64453125,17.96875,4.6875
181.0546875,126.5625,135.8398438,-103.2226563,197.65625
-53.22265625,-9.765625,-0.9765625,-5.46875,6.73828125
23.53515625,11.5234375,-0.09765625,5.6640625,-0.29296875
-7.421875,0.9765625,1.07421875,12.59765625,-4.78515625
-7.12890625,12.6953125,-7.32421875,5.76171875,12.01171875
-114.9414063,-17.48046875,-38.8671875,-14.2578125,-35.3515625
7.421875,0.9765625,1.7578125,9.1796875,-10.546875
60.7421875,-12.79296875,-12.109375,-21.09375,-16.015625
-4.39453125,13.8671875,21.19140625,7.71484375,22.94921875
12.6953125,-14.74609375,-4.4921875,-4.98046875,-5.56640625
1.07421875,-12.79296875,-1.5625,-15.52734375,-1.66015625
22.0703125,1.171875,-3.02734375,-2.5390625,-1.66015625
32.6171875,-8.984375,0.9765625,-1.953125,2.734375
54.58984375,29.4921875,-14.74609375,25.9765625,14.453125
18.1640625,11.23046875,1.3671875,31.93359375,9.1796875
0.68359375,-3.02734375,2.1484375,-4.39453125,3.515625
-3.22265625,6.15234375,-8.30078125,28.61328125,1.7578125
-25.68359375,-20.3125,-14.2578125,-19.3359375,-3.61328125
33.7890625,-2.24609375,-5.37109375,-5.6640625,-13.37890625
3.3203125,-5.56640625,-7.91015625,-5.56640625,-8.203125
32.8125,10.7421875,-2.83203125,-4.78515625,9.47265625
7.8125,-5.56640625,-3.22265625,-1.3671875,-7.12890625
39.16015625,-8.0078125,2.63671875,-2.24609375,-19.43359375
-8.7890625,-20.99609375,-1.26953125,-18.45703125,-1.171875
0.390625,13.18359375,-29.296875,21.6796875,-8.49609375
-21.58203125,-10.64453125,-5.46875,-5.859375,10.15625
16.11328125,4.00390625,23.14453125,5.6640625,24.8046875
-25.5859375,-3.22265625,10.15625,-1.5625,1.953125
13.96484375,-1.85546875,-14.35546875,10.7421875,-2.63671875
10.83984375,-7.8125,13.28125,-4.00390625,9.86328125
-5.078125,1.3671875,-1.66015625,7.51953125,0.78125
-20.01953125,-5.76171875,3.22265625,-2.34375,8.3984375
7.6171875,-11.62109375,20.3125,-12.01171875,6.34765625
-31.0546875,-5.859375,1.26953125,13.96484375,-10.546875
-38.4765625,8.49609375,19.3359375,6.4453125,26.66015625
