EOG Left,EEG C3-A1,EEG O1-A1,EEG C4-A1,EEG O2-A1
11.23046875,-2.9296875,-2.63671875,3.22265625,-24.21875
11.71875,-1.85546875,1.953125,-4.78515625,-5.2734375
7.71484375,4.00390625,3.41796875,5.078125,-1.953125
34.1796875,32.71484375,-33.3984375,26.07421875,1.26953125
-18.65234375,-14.0625,15.625,-2.1484375,27.05078125
-8.49609375,-24.51171875,2.5390625,-23.828125,3.41796875
-29.6875,-15.13671875,-2.05078125,-17.96875,-23.046875
-68.26171875,-0.48828125,-19.3359375,9.765625,-12.890625
-49.31640625,-15.72265625,6.34765625,-11.81640625,9.08203125
10.44921875,9.1796875,-5.46875,12.3046875,-9.47265625
-8.30078125,12.109375,14.6484375,4.00390625,9.9609375
11.9140625,-8.49609375,0.68359375,-5.56640625,-2.5390625
-0.9765625,-9.9609375,0.390625,-12.40234375,-2.05078125
-8.203125,6.0546875,24.90234375,-2.24609375,7.03125
9.1796875,-1.66015625,6.54296875,-4.8828125,2.34375
-35.25390625,1.171875,20.41015625,-7.2265625,-1.7578125
23.92578125,3.90625,7.71484375,5.6640625,-3.22265625
-0.48828125,-8.0078125,-12.3046875,-1.66015625,-8.3984375
46.97265625,4.8828125,-6.25,8.69140625,-8.10546875
-33.984375,0.5859375,-5.95703125,11.03515625,5.6640625
-0.48828125,25.68359375,-13.57421875,21.875,-8.49609375
-18.26171875,9.765625,-7.32421875,8.0078125,2.05078125
-14.453125,18.26171875,-7.8125,30.76171875,1.85546875
-18.84765625,-7.6171875,12.79296875,12.109375,21.19140625
1.85546875,7.71484375,0.09765625,-0.87890625,3.90625
8.7890625,1.171875,1.3671875,3.125,3.02734375
-34.765625,-8.49609375,-7.32421875,-18.9453125,-5.95703125
-2.05078125,20.1171875,8.984375,35.7421875,9.47265625
9.375,2.34375,8.30078125,-1.85546875,3.61328125
23.92578125,13.671875,-5.2734375,14.2578125,0.1953125
-17.87109375,-4.6875,4.78515625,1.85546875,-2.44140625
-0.29296875,-8.3984375,7.421875,-10.9375,3.90625
7.51953125,6.15234375,-10.7421875,5.17578125,-6.93359375
24.8046875,8.10546875,4.4921875,7.51953125,6.0546875
-7.6171875,-24.31640625,-3.515625,-19.53125,-18.26171875
-33.10546875,6.0546875,11.23046875,7.421875,12.5
7.6171875,6.25,0.48828125,4.78515625,-3.3203125
-11.5234375,10.83984375,1.07421875,7.32421875,12.3046875
-1.85546875,7.51953125,-22.4609375,12.59765625,-25.09765625
-0.78125,6.54296875,11.5234375,11.03515625,7.421875
-35.15625,-12.40234375,1.07421875,-4.6875,-6.0546875
-16.89453125,-4.39453125,-8.10546875,2.9296875,-8.59375
-16.6015625,-5.56640625,-3.125,-2.63671875,-3.515625
2.34375,-3.61328125,-6.8359375,-6.640625,4.98046875
0.68359375,5.37109375,3.22265625,-5.078125,-0.5859375
-44.140625,-17.67578125,10.546875,-3.3203125,1.07421875
-4.98046875,22.55859375,-21.6796875,13.4765625,-13.8671875
25.390625,-0.390625,8.59375,-14.453125,12.109375
-13.37890625,-5.46875,-20.60546875,3.515625,-17.87109375
7.32421875,14.16015625,-5.17578125,30.17578125,-4.98046875
1.46484375,-3.90625,19.04296875,-2.83203125,26.66015625
0.29296875,-2.5390625,16.796875,-4.78515625,25.9765625
1.85546875,-1.171875,6.640625,-1.26953125,4.19921875
-0.1953125,-0.78125,-4.39453125,-7.6171875,-9.1796875
4.6875,22.0703125,2.44140625,12.109375,2.34375
32.51953125,23.828125,-11.5234375,17.1875,20.60546875
6.15234375,4.6875,11.71875,3.90625,12.59765625
40.625,-10.7421875,-1.07421875,-25.1953125,-8.30078125
-24.31640625,-15.13671875,30.46875,-24.31640625,29.1015625
-8.59375,-0.87890625,-2.9296875,1.85546875,5.17578125
-5.6640625,-7.2265625,2.34375,-3.02734375,2.05078125
-20.99609375,15.234375,7.2265625,13.57421875,1.171875
21.19140625,-4.39453125,18.65234375,-10.3515625,16.50390625
-17.3828125,-20.99609375,-14.74609375,-7.51953125,-8.10546875
-17.67578125,7.8125,3.90625,10.15625,3.02734375
0.9765625,3.02734375,3.125,-1.3671875,-3.515625
7.51953125,-29.58984375,-10.44921875,-16.796875,-8.3984375
-2.1484375,-4.1015625,-6.640625,-12.890625,-3.22265625
15.234375,12.109375,15.4296875,2.5390625,-2.24609375
26.953125,0.78125,-11.71875,4.00390625,-4.58984375
31.8359375,12.59765625,6.0546875,12.79296875,7.2265625
-31.73828125,-8.30078125,2.05078125,7.421875,-5.95703125
31.73828125,-0.48828125,-14.6484375,-6.34765625,-11.23046875
-35.05859375,-11.5234375,-0.5859375,-10.25390625,-3.7109375
-3.515625,13.37890625,12.5,4.58984375,14.16015625
-4.98046875,-1.3671875,-4.78515625,-0.390625,-11.03515625
-18.45703125,-14.35546875,9.375,-15.33203125,-9.66796875
-2.83203125,11.5234375,8.0078125,13.0859375,19.7265625
-25.1953125,-13.57421875,13.18359375,-3.515625,12.59765625
-16.6015625,17.08984375,-2.34375,7.32421875,27.734375
-24.70703125,1.85546875,-5.859375,3.41796875,-10.83984375
42.28515625,3.41796875,-12.01171875,17.578125,14.453125
9.08203125,-14.35546875,-10.546875,-13.18359375,-5.37109375
-53.7109375,-4.00390625,-4.19921875,2.24609375,-17.28515625
-5.078125,-3.125,4.00390625,-1.7578125,4.39453125
12.3046875,-9.5703125,-4.00390625,-14.35546875,-23.53515625
-7.71484375,-20.3125,-10.83984375,-11.5234375,-14.453125
-28.41796875,0.87890625,11.23046875,-2.44140625,1.953125
42.67578125,11.1328125,6.54296875,-0.9765625,12.6953125
-20.01953125,-22.8515625,-2.83203125,-13.671875,-11.62109375
-29.8828125,-19.7265625,0.48828125,-23.92578125,-2.05078125
2.44140625,-16.50390625,-1.67e-14,-6.93359375,6.15234375
-14.0625,-2.34375,7.71484375,-8.203125,6.640625
32.91015625,-1.7578125,-1.171875,2.1484375,-5.078125
-32.03125,-3.3203125,7.91015625,-8.203125,-8.30078125
4.00390625,-6.0546875,-3.80859375,-9.08203125,-3.90625
-22.4609375,-21.38671875,21.77734375,-21.484375,21.6796875
